Column,Unique_Count,Sample_Values
ProductCD,5,"['W', 'H', 'C', 'S', 'R']"
card4,4,"['discover', 'mastercard', 'visa', 'american express']"
card6,4,"['credit', 'debit', 'debit or credit', 'charge card']"
P_emaildomain,59,"['gmail.com', 'outlook.com', 'yahoo.com', 'mail.com', 'anonymous.com']"
R_emaildomain,60,"['gmail.com', 'hotmail.com', 'outlook.com', 'anonymous.com', 'charter.net']"
M1,2,"['T', 'F']"
M2,2,"['T', 'F']"
M3,2,"['T', 'F']"
M4,3,"['M2', 'M0', 'M1']"
M5,2,"['F', 'T']"
M6,2,"['T', 'F']"
M7,2,"['F', 'T']"
M8,2,"['F', 'T']"
M9,2,"['F', 'T']"
