,count,mean,std,min,25%,50%,75%,max
TransactionID,590540.0,3282269.5,170474.3583204291,2987000.0,3134634.75,3282269.5,3429904.25,3577539.0
TransactionDT,590540.0,7372311.310116165,4617223.646539679,86400.0,3027057.75,7306527.5,11246620.0,15811131.0
TransactionAmt,590540.0,135.02717637247264,239.1625220136613,0.251,43.321,68.769,125.0,31937.391
card1,590540.0,9898.734658109526,4901.170153494702,1000.0,6019.0,9678.0,14184.0,18396.0
card2,581607.0,362.5554884999665,157.79324631017712,100.0,214.0,361.0,512.0,600.0
card3,588975.0,153.19492508170975,11.336443990237404,100.0,150.0,150.0,150.0,231.0
card5,586281.0,199.27889697943476,41.24445296494831,100.0,166.0,226.0,226.0,237.0
addr1,524834.0,290.73379392341195,101.74107175821803,100.0,204.0,299.0,330.0,540.0
addr2,524834.0,86.80063029453122,2.6906234860383615,10.0,87.0,87.0,87.0,102.0
dist1,238269.0,118.50218030881064,371.8720264913068,0.0,3.0,8.0,24.0,10286.0
dist2,37627.0,231.85542296754988,529.0534935529689,0.0,7.0,37.0,206.0,11623.0
C1,590540.0,14.092457750533411,133.56901800193918,0.0,1.0,1.0,3.0,4685.0
C2,590540.0,15.26973448030616,154.66889921577484,0.0,1.0,1.0,3.0,5691.0
C3,590540.0,0.005643986859484539,0.15053562181777802,0.0,0.0,0.0,0.0,26.0
C4,590540.0,4.092185118704914,68.84845855793935,0.0,0.0,0.0,0.0,2253.0
C5,590540.0,5.57152606089342,25.786975821633327,0.0,0.0,0.0,1.0,349.0
C6,590540.0,9.07108239916009,71.50846738739064,0.0,1.0,1.0,2.0,2253.0
C7,590540.0,2.848477664510448,61.72730351524361,0.0,0.0,0.0,0.0,2255.0
C8,590540.0,5.144574457276391,95.3785736488988,0.0,0.0,0.0,0.0,3331.0
C9,590540.0,4.480240119212924,16.6748967062315,0.0,0.0,1.0,2.0,210.0
C10,590540.0,5.2403427371558235,95.58144296312022,0.0,0.0,0.0,0.0,3257.0
C11,590540.0,10.241521319470316,94.33629182910457,0.0,1.0,1.0,2.0,3188.0
